symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
VSC2D,48hs,105.0,,105.0,105.0,105.0,105.0,10185.0,9700.0,6.0,2021-08-31 11:39:38
VSC2O,spot,,,,,,17117.5,,,,
VSC2O,24hs,,,,,,17800.0,,,,
VSC2O,48hs,18000.0,-1.28,18250.0,18250.0,18000.0,18235.0,2106861.0,11650.0,8.0,2021-08-31 12:17:16
VSC3D,spot,,,,,,100.0,,,,
VSC3D,24hs,,,,,,97.76,,,,
VSC3D,48hs,100.0,1.01,98.0,100.0,98.0,99.0,1512.0,1533.0,4.0,2021-08-31 16:20:02
VSC3O,spot,,,,,,17150.0,,,,
VSC3O,24hs,,,,,,16294.733,,,,
VSC3O,48hs,17105.0,0.02,17101.0,17300.0,17101.0,17101.0,1494755.0,8708.0,17.0,2021-08-31 16:02:54
VSC8O,spot,,,,,,7145.928,,,,
VSC8O,24hs,,,,,,7755.928,,,,
VSC8O,48hs,,,,,,8250.0,,,,
VSCAO,spot,,,,,,7953.5,,,,
VSCAO,24hs,,,,,,,,,,
VSCAO,48hs,,,,,,8500.0,,,,
VSCBD,48hs,,,,,,,,,,
VSCBO,spot,,,,,,,,,,
VSCBO,24hs,,,,,,9743.0,,,,
VSCBO,48hs,,,,,,,,,,
VSCDC,48hs,,,,,,,,,,
VSCDO,48hs,,,,,,,,,,
WNC9C,spot,,,,,,,,,,
WNC9C,24hs,,,,,,,,,,
WNC9C,48hs,,,,,,,,,,
WNC9D,spot,,,,,,,,,,
WNC9D,24hs,,,,,,,,,,
WNC9D,48hs,,,,,,,,,,
WNC9O,spot,,,,,,,,,,
WNC9O,24hs,,,,,,,,,,
WNC9O,48hs,,,,,,,,,,
YCA6C,spot,,,,,,89.1,,,,
YCA6C,24hs,,,,,,82.75,,,,
YCA6C,48hs,,,,,,82.0,,,,
YCA6O,spot,,,,,,15593.0,,,,
YCA6O,24hs,,,,,,10469.87,,,,
YCA6O,48hs,15999.0,2.88,15600.0,15999.0,15600.0,15550.0,1254990.0,8000.0,5.0,2021-08-31 16:07:52
YCA6P,spot,,,,,,87.0,,,,
YCA6P,24hs,,,,,,91.0,,,,
YCA6P,48hs,93.5,3.31,91.5,93.5,91.5,90.5,23138.0,25000.0,11.0,2021-08-31 15:46:21
YMCBO,spot,,,,,,7950.0,,,,
YMCBO,24hs,,,,,,7887.0,,,,
YMCBO,48hs,,,,,,9622.5,,,,
YMCHC,spot,,,,,,85.55,,,,
YMCHC,24hs,,,,,,92.0,,,,
YMCHC,48hs,,,,,,92.0,,,,
YMCHD,spot,,,,,,90.5,,,,
YMCHD,24hs,,,,,,94.76,,,,
YMCHD,48hs,,,,,,90.0,,,,
YMCHO,spot,,,,,,15402.96,,,,
YMCHO,24hs,,,,,,11909.04,,,,
YMCHO,48hs,16200.0,1.25,16200.0,16200.0,16200.0,16000.0,101574.0,627.0,3.0,2021-08-31 15:43:08
YMCIC,spot,,,,,,,,,,
YMCIC,24hs,,,,,,,,,,
YMCIC,48hs,,,,,,,,,,
YMCID,spot,,,,,,71.0,,,,
YMCID,24hs,,,,,,,,,,
YMCID,48hs,,,,,,72.0,,,,
YMCIO,spot,,,,,,12100.0,,,,
YMCIO,24hs,,,,,,,,,,
YMCIO,48hs,12490.0,1.95,12250.0,12490.0,12250.0,12250.0,643835.0,5176.0,5.0,2021-08-31 16:19:39
YMCJD,spot,,,,,,,,,,
YMCJD,24hs,,,,,,,,,,
YMCJD,48hs,,,,,,55.0,,,,
YMCJO,spot,,,,,,9807.0,,,,
YMCJO,24hs,,,,,,,,,,
YMCJO,48hs,10450.0,,10300.0,10450.0,10300.0,10450.0,73040.0,701.0,4.0,2021-08-31 15:26:18
YPCUD,spot,99.5,1.53,99.5,99.5,99.5,98.0,13930.0,14000.0,1.0,2021-08-31 14:43:35
YPCUD,24hs,,,,,,96.84,,,,
YPCUD,48hs,100.0,,100.0,100.0,100.0,100.0,148000.0,148000.0,25.0,2021-08-31 15:45:15
YPCUO,spot,16965.0,3.09,16965.0,16965.0,16965.0,16455.0,2375100.0,14000.0,1.0,2021-08-31 14:44:24
YPCUO,24hs,,,,,,16500.0,,,,
YPCUO,48hs,17050.0,0.58,17050.0,17050.0,17050.0,16950.0,170500.0,1000.0,1.0,2021-08-31 15:07:59
