symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
TTC1D,48hs,103.0,,103.0,103.0,103.0,103.0,1030.0,1000.0,1.0,2021-09-01 16:26:19
TTC1O,spot,17800.0,0.56,17800.0,17800.0,17800.0,17700.0,534000.0,3000.0,1.0,2021-09-01 13:07:06
TTC1O,24hs,,,,,,17730.0,,,,
TTC1O,48hs,18000.0,0.55,17910.0,18000.0,17910.0,17900.0,897300.0,5000.0,3.0,2021-09-01 16:48:11
TTC4D,spot,,,,,,100.242,,,,
TTC4D,24hs,,,,,,96.992,,,,
TTC4D,48hs,99.5,0.05,99.5,99.5,99.5,99.45,1180.0,1186.0,2.0,2021-09-01 15:45:29
TTC4O,spot,,,,,,16850.0,,,,
TTC4O,24hs,,,,,,17237.0,,,,
TTC4O,48hs,17000.0,,17200.0,17200.0,17000.0,17000.0,1048068.0,6094.0,6.0,2021-09-01 17:00:20
VSC2C,spot,,,,,,102.5,,,,
VSC2C,24hs,,,,,,93.65,,,,
VSC2C,48hs,,,,,,101.06,,,,
VSC2D,spot,,,,,,104.0,,,,
VSC2D,24hs,,,,,,104.36,,,,
VSC2D,48hs,104.1,-0.85,104.0,104.1,104.0,105.0,2612.0,2510.0,2.0,2021-09-01 13:07:02
VSC2O,spot,,,,,,17117.5,,,,
VSC2O,24hs,,,,,,17800.0,,,,
VSC2O,48hs,18200.0,1.11,18100.0,18200.0,18100.0,18000.0,332541.0,1837.0,3.0,2021-09-01 16:27:44
VSC3D,spot,,,,,,100.0,,,,
VSC3D,24hs,,,,,,97.76,,,,
VSC3D,48hs,100.0,,100.0,100.0,99.0,100.0,4614.0,4636.0,15.0,2021-09-01 15:16:41
VSC3O,spot,,,,,,17150.0,,,,
VSC3O,24hs,,,,,,16294.733,,,,
VSC3O,48hs,17200.0,0.57,17101.0,17300.0,17001.0,17101.0,1270112.0,7377.0,23.0,2021-09-01 14:47:15
VSC8O,spot,,,,,,7145.928,,,,
VSC8O,24hs,,,,,,7755.928,,,,
VSC8O,48hs,,,,,,8250.0,,,,
VSCAO,spot,,,,,,7953.5,,,,
VSCAO,24hs,,,,,,,,,,
